City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Tiksi,RU,2021-04-02 21:26:57,71.6872,128.8694,-18.06,100,100,7.09
158,Grindavik,IS,2021-04-02 21:23:23,63.8424,-22.4338,41.0,81,90,16.11
159,Matagami,CA,2021-04-02 21:26:58,49.7502,-77.6328,30.2,29,1,13.8
160,Arman,RU,2021-04-02 21:26:58,59.7,150.1667,5.65,75,36,6.31
161,Haines Junction,CA,2021-04-02 21:26:58,60.7522,-137.5108,26.6,36,98,5.75
162,Narsaq,GL,2021-04-02 21:26:59,60.9167,-46.05,37.4,81,75,4.47
163,Thompson,CA,2021-04-02 21:26:37,55.7435,-97.8558,48.2,31,20,17.27
164,Vostok,RU,2021-04-02 21:26:59,46.4856,135.8833,34.3,96,100,7.63
165,Rorvik,NO,2021-04-02 21:26:59,64.8621,11.2373,38.37,66,100,16.04
166,Axim,GH,2021-04-02 21:27:00,4.8699,-2.2405,79.43,88,59,8.81
167,Ponta Do Sol,PT,2021-04-02 21:27:00,32.6667,-17.1,62.6,72,40,6.91
168,Lorengau,PG,2021-04-02 21:27:00,-2.0226,147.2712,81.32,78,98,5.93
169,Hofn,IS,2021-04-02 21:27:00,64.2539,-15.2082,43.61,58,3,8.66
170,Tevaitoa,PF,2021-04-02 21:27:01,-16.7833,-151.5,81.28,73,9,2.89
171,Aklavik,CA,2021-04-02 21:27:01,68.2191,-135.0107,-5.8,59,100,3.44
172,Ongandjera,NA,2021-04-02 21:27:01,-17.8833,15.0667,77.54,53,99,4.34
173,Gornozavodsk,RU,2021-04-02 21:27:02,58.3758,58.3211,33.12,98,100,8.84
174,Guskhara,IN,2021-04-02 21:27:02,23.5,87.75,74.98,93,0,6.6
175,Vilyuysk,RU,2021-04-02 21:27:02,63.7553,121.6247,-9.29,97,99,6.98
176,Kaitangata,NZ,2021-04-02 21:27:02,-46.2817,169.8464,51.01,73,81,5.99
177,Aripuana,BR,2021-04-02 21:27:03,-9.1667,-60.6333,80.1,87,77,3.0
178,Batemans Bay,AU,2021-04-02 21:27:03,-35.7167,150.1833,57.99,87,0,4.03
179,Funadhoo,MV,2021-04-02 21:27:03,6.15,73.2667,83.05,74,27,10.74
180,Yerbogachen,RU,2021-04-02 21:22:54,61.2767,108.0108,13.8,94,100,8.99
181,Keetmanshoop,NA,2021-04-02 21:22:53,-26.5833,18.1333,80.6,26,81,5.75
182,Mazagao,BR,2021-04-02 21:27:04,-0.115,-51.2894,86.0,89,75,8.05
183,Ocampo,MX,2021-04-02 21:27:04,21.65,-101.5,82.0,50,2,13.94
184,Kahului,US,2021-04-02 21:24:11,20.8947,-156.47,80.6,57,20,18.41
185,Banes,CU,2021-04-02 21:27:05,20.9625,-75.7186,77.0,78,75,16.11
186,Krasnovishersk,RU,2021-04-02 21:27:05,60.4078,57.082,29.5,98,100,2.44
187,Hay River,CA,2021-04-02 21:27:05,60.8156,-115.7999,8.6,61,91,9.22
188,Geraldton,AU,2021-04-02 21:27:05,-28.7667,114.6,69.8,88,82,12.66
189,Los Llanos De Aridane,ES,2021-04-02 21:27:06,28.6585,-17.9182,66.2,77,20,12.66
190,Jeremie,HT,2021-04-02 21:27:06,18.65,-74.1167,80.06,72,18,4.7
191,Mawlaik,MM,2021-04-02 21:27:06,23.6333,94.4167,70.27,40,0,1.95
192,Southbridge,US,2021-04-02 21:25:12,42.0751,-72.0334,33.8,43,90,10.36
193,Saint-Georges,GD,2021-04-02 21:24:06,12.0564,-61.7485,82.4,69,40,20.71
194,Bengkulu,ID,2021-04-02 21:27:07,-3.8004,102.2655,75.79,89,81,10.56
195,Turayf,SA,2021-04-02 21:27:07,31.6725,38.6637,46.4,71,0,13.8
196,Tazovskiy,RU,2021-04-02 21:27:07,67.4667,78.7,11.57,94,100,11.32
197,Huangnihe,CN,2021-04-02 21:27:08,43.5583,128.0239,39.18,53,100,14.05
198,Qaanaaq,GL,2021-04-02 21:22:20,77.484,-69.3632,-16.82,76,100,9.89
199,Ziarat,PK,2021-04-02 21:27:08,30.3823,67.7282,51.15,26,0,8.16
