City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Pudozh,RU,61.8099,36.5345,19.2,97,47,2.57,scattered clouds
156,Grand Gaube,MU,-20.0064,57.6608,81.0,80,11,4.0,light rain
157,Bella Union,UY,-30.2752,-57.6007,69.93,66,33,6.15,scattered clouds
158,Galle,LK,6.0367,80.217,78.94,79,50,9.62,scattered clouds
159,Inta,RU,66.0317,60.1659,9.99,96,87,4.14,overcast clouds
160,Dwarka,IN,22.2394,68.9678,78.75,78,6,7.67,clear sky
161,Yuty,PY,-26.6,-56.25,71.71,69,23,3.94,few clouds
162,Saskylakh,RU,71.9167,114.0833,-22.65,99,63,2.26,broken clouds
163,Shimoda,JP,34.6667,138.95,66.2,72,75,10.36,broken clouds
164,Shitanjing,CN,39.2342,106.3439,40.96,41,100,6.53,overcast clouds
165,Sao Filipe,CV,14.8961,-24.4956,72.43,76,44,13.29,scattered clouds
166,Ayan,RU,56.45,138.1667,17.55,63,99,15.03,overcast clouds
167,Ust-Kuyga,RU,70.0167,135.6,-9.26,92,100,4.94,overcast clouds
168,Lasa,IT,46.6166,10.7002,37.0,74,0,8.05,clear sky
169,Japura,ID,-0.3167,102.35,73.98,97,96,2.01,overcast clouds
170,Dikson,RU,73.5069,80.5464,-18.24,85,34,6.55,scattered clouds
171,Lerwick,GB,60.1545,-1.1494,46.4,81,75,24.16,broken clouds
172,Saint Anthony,US,45.0205,-93.218,68.0,16,1,6.91,clear sky
173,Sibolga,ID,1.7427,98.7792,74.34,90,100,6.02,overcast clouds
174,Ko Samui,TH,9.5357,99.9357,82.33,74,100,8.39,overcast clouds
175,Tasiilaq,GL,65.6145,-37.6368,17.6,57,15,25.32,few clouds
176,Caxito,AO,-8.5785,13.6643,78.8,94,75,3.44,light rain
177,Khatanga,RU,71.9667,102.5,-24.43,94,8,4.5,clear sky
178,Narsaq,GL,60.9167,-46.05,39.2,87,90,1.14,light rain
179,Dawlatabad,AF,36.4141,64.9053,64.13,58,100,11.05,overcast clouds
180,Tiksi,RU,71.6872,128.8694,-10.93,99,100,6.55,overcast clouds
181,Hithadhoo,MV,-0.6,73.0833,83.44,75,49,16.49,scattered clouds
182,Katsuura,JP,35.1333,140.3,66.0,74,66,8.01,broken clouds
183,Chalisgaon,IN,20.4667,75.0167,79.65,30,12,2.53,few clouds
184,Antalaha,MG,-14.9003,50.2788,73.42,91,21,4.99,few clouds
185,Altus,US,34.6381,-99.334,75.2,38,1,12.66,clear sky
186,Kununurra,AU,-15.7667,128.7333,84.2,54,95,9.22,overcast clouds
187,San Quintin,MX,30.4833,-115.95,64.72,68,3,18.48,clear sky
188,Port Keats,AU,-14.25,129.55,78.51,60,100,8.88,overcast clouds
189,Rio Cuarto,AR,-33.1307,-64.3499,64.4,77,0,11.5,clear sky
190,Corn Island,NI,12.1694,-83.0418,80.26,75,40,17.2,scattered clouds
191,Niamey,NE,13.5137,2.1098,82.4,9,0,3.44,clear sky
192,Aksaray,TR,38.3726,34.0254,42.8,70,0,11.5,clear sky
193,Constitucion,CL,-35.3333,-72.4167,56.73,77,7,8.9,clear sky
194,San Clemente,US,33.427,-117.612,72.0,73,9,1.01,clear sky
195,Kananga,CD,-5.8958,22.4178,69.44,96,99,1.66,light rain
196,Karratha,AU,-20.7377,116.8463,85.77,36,37,7.78,scattered clouds
197,Blythe,US,33.6103,-114.5964,98.01,6,5,3.0,clear sky
198,Labuhan,ID,-6.8844,112.2051,80.74,82,80,9.08,broken clouds
199,Lakatoro,VU,-16.0999,167.4164,84.67,73,93,9.13,overcast clouds
200,Raga,SS,8.4596,25.678,76.53,20,8,3.38,clear sky
201,Xining,CN,36.6167,101.7667,32.41,91,99,1.77,overcast clouds
202,Srednekolymsk,RU,67.45,153.6833,5.38,76,48,4.79,scattered clouds
203,Upernavik,GL,72.7868,-56.1549,-22.07,95,7,7.07,clear sky
204,Rybinsk,RU,58.0446,38.8426,26.1,96,49,4.27,scattered clouds
