City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Moindou,NC,80.6,broken clouds,-21.6924,165.67700000000002,Gite de la RYAWA
278,Honolulu,US,80.6,light rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
279,Kinango,KE,75.07,scattered clouds,-4.1372,39.3153,Legacy Hotel
280,Trairi,BR,79.39,few clouds,-3.2778,-39.2689,janelas do mar
282,Bonfim,BR,86.85,overcast clouds,3.0833,-59.95,
290,Sapa,PH,83.25,overcast clouds,5.1544,120.3241,
297,Nhulunbuy,AU,86.0,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
300,Sa Kaeo,TH,82.71,overcast clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
301,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
302,Parnamirim,BR,77.0,scattered clouds,-5.9156,-35.2628,Pousada Joaci
305,Port Blair,IN,79.7,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
313,Yulara,AU,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
314,Benguela,AO,79.7,broken clouds,-12.5763,13.4055,Hotel Praia Morena
318,Waingapu,ID,78.57,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
322,Namatanai,PG,85.96,overcast clouds,-3.6667,152.4333,Namatanai Hotel
324,Malakal,SS,87.48,few clouds,9.5334,31.6605,Nile Palace Hotel
329,Maningrida,AU,80.47,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
330,Ha Tinh,VN,76.05,broken clouds,18.3333,105.9,Phú Quý
331,Cabo San Lucas,MX,86.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
332,Guaruja,BR,78.01,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
335,Yeppoon,AU,75.2,overcast clouds,-23.1333,150.7333,Villa Mar Colina
336,Manggar,ID,80.47,broken clouds,-2.8833,108.2667,Guest Hotel
339,Makakilo City,US,82.4,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
342,Saint George,US,87.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
346,Paciran,ID,80.56,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
347,Puerto Baquerizo Moreno,EC,79.0,clear sky,-0.9,-89.6,Hotel los Algarrobos
348,Reforma,MX,77.49,clear sky,18.1,-91.0167,
351,Tagusao,PH,80.8,overcast clouds,9.1924,117.8141,Toledo
360,Manokwari,ID,82.4,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
365,Buchanan,LR,78.8,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
366,Caucasia,CO,77.74,overcast clouds,7.9865,-75.1935,Hotel San Rafael
367,Cockburn Town,TC,76.66,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
